Age,Income,PurchaseFrequency,Revenue,MarketingCost,CustomerID,Visitors,Purchases,Gender,Channel,Campaign,Impressions,Clicks,Churn
68,33909,14,971,3558,1,681,6,Male,Social Media,Fall Sale,4078,878,0
40,53138,2,9049,2995,2,401,8,Female,TV,Summer Sale,9272,916,0
58,32494,17,9180,2274,3,887,2,Male,Radio,Winter Sale,7517,377,0
37,79304,15,8935,4072,4,574,7,Female,Social Media,Winter Sale,2997,690,1
25,77574,18,6744,2749,5,400,7,Female,Social Media,Fall Sale,6687,680,1
55,43912,3,5616,751,6,922,5,Female,TV,Winter Sale,5992,887,1
59,85224,17,4196,334,7,532,2,Female,Email,Spring Sale,2016,297,0
56,80730,11,7897,4801,8,984,9,Female,TV,Winter Sale,9687,274,0
51,61986,14,2854,1573,9,620,1,Male,Email,Spring Sale,1444,542,0
35,88599,14,9293,4628,10,763,1,Female,Social Media,Fall Sale,2879,725,1
23,69141,19,7403,1513,11,507,1,Male,Email,Spring Sale,2407,52,0
50,38408,17,2146,3185,12,226,7,Female,Direct Mail,Winter Sale,4025,922,0
54,72549,9,5929,4633,13,431,2,Male,Radio,Fall Sale,4651,258,1
31,68321,7,3852,3412,14,922,6,Female,TV,Summer Sale,7668,781,1
68,52773,11,3630,1159,15,967,6,Male,Email,Spring Sale,7366,113,1
50,69192,16,921,4742,16,880,8,Male,TV,Spring Sale,7011,947,0
26,58188,10,8368,3011,17,677,8,Female,Social Media,Fall Sale,9348,877,1
38,90223,16,4194,1811,18,830,7,Female,Email,Spring Sale,8708,947,1
42,91701,8,1686,256,19,192,3,Male,Direct Mail,Summer Sale,3195,220,0
34,31867,12,8342,3871,20,265,3,Male,TV,Spring Sale,6882,513,1
19,86339,17,9315,4239,21,960,9,Male,Radio,Summer Sale,9632,720,1
67,72114,13,9480,1765,22,465,8,Female,Direct Mail,Winter Sale,8742,660,1
25,37148,13,2717,1025,23,645,1,Female,Direct Mail,Winter Sale,4752,47,1
67,88629,11,204,2220,24,382,1,Female,TV,Summer Sale,1073,651,1
36,78754,12,5234,4247,25,159,7,Female,Social Media,Summer Sale,7087,974,0
54,37974,5,8740,571,26,160,8,Male,Direct Mail,Spring Sale,6324,113,0
18,54441,6,1721,2161,27,211,8,Male,Radio,Fall Sale,9636,907,1
35,97784,16,3073,1591,28,763,3,Female,Direct Mail,Fall Sale,6677,542,0
33,75140,9,2517,3925,29,171,5,Male,Radio,Summer Sale,4383,202,1
59,95781,15,6530,3044,30,741,9,Female,Email,Spring Sale,6274,568,1
51,58221,17,9014,4656,31,597,6,Male,Email,Summer Sale,5242,939,1
49,31986,2,9141,3781,32,535,3,Male,Radio,Fall Sale,4036,623,0
58,55062,9,7527,609,33,577,8,Male,TV,Winter Sale,1835,678,0
58,30131,10,4347,761,34,932,7,Male,Social Media,Summer Sale,6173,557,0
63,81840,18,1920,1670,35,289,8,Male,Radio,Spring Sale,5093,540,1
58,93882,12,9434,3099,36,652,5,Male,Social Media,Fall Sale,3249,945,1
31,86666,7,4276,4286,37,751,8,Male,TV,Summer Sale,8798,648,0
26,48409,8,3217,3422,38,756,8,Female,Social Media,Spring Sale,9459,29,1
47,88688,15,1927,2854,39,208,4,Male,Direct Mail,Summer Sale,5979,185,0
26,51781,17,9041,133,40,447,1,Male,TV,Fall Sale,4983,321,0
39,35987,13,4652,4227,41,530,5,Female,Direct Mail,Fall Sale,8217,56,1
53,36462,15,8049,3879,42,416,4,Male,Email,Summer Sale,4171,51,0
31,92670,19,5888,3148,43,739,9,Male,Email,Winter Sale,9799,15,0
27,80982,19,414,2209,44,225,4,Male,Social Media,Fall Sale,6099,216,1
26,35437,4,5940,2921,45,288,3,Male,TV,Spring Sale,1044,517,0
32,86447,17,3933,4564,46,347,1,Male,TV,Summer Sale,9568,108,1
31,55791,17,4921,2191,47,333,8,Male,Email,Winter Sale,4659,456,1
24,96063,19,5840,3093,48,409,5,Male,Direct Mail,Winter Sale,5427,337,0
47,64739,14,2999,2865,49,540,8,Female,Radio,Winter Sale,6232,509,0
22,91432,8,6463,544,50,274,8,Male,Radio,Spring Sale,4211,6,0
30,87373,16,6287,4726,51,193,4,Male,TV,Spring Sale,2810,522,1
28,30168,10,2010,3625,52,236,4,Male,Social Media,Spring Sale,1328,580,0
68,46209,14,4212,3467,53,126,7,Male,Radio,Winter Sale,7955,465,1
42,30538,19,3053,81,54,795,4,Female,Social Media,Winter Sale,8728,288,1
65,32509,13,9549,1744,55,483,9,Female,Social Media,Winter Sale,9174,553,0
51,76274,10,7111,2506,56,930,4,Male,Direct Mail,Summer Sale,5800,900,0
55,91009,5,1691,1051,57,434,4,Male,Social Media,Fall Sale,6911,255,1
38,58106,15,4085,2065,58,950,6,Female,Email,Fall Sale,2058,138,1
31,84832,16,7362,1332,59,348,4,Female,Email,Winter Sale,2440,476,0
67,46221,10,1869,355,60,585,1,Female,Direct Mail,Spring Sale,8630,844,0
37,92812,9,3915,3880,61,108,8,Male,TV,Spring Sale,7544,368,1
58,83288,19,5550,2685,62,340,1,Male,TV,Winter Sale,6994,404,0
57,82039,15,7690,1524,63,676,7,Female,Email,Spring Sale,7466,930,0
40,40319,3,9054,458,64,683,6,Male,Direct Mail,Winter Sale,1542,566,0
41,78364,2,285,2411,65,576,2,Female,TV,Spring Sale,8553,999,0
37,50371,2,9925,126,66,407,4,Female,Social Media,Fall Sale,9212,688,1
35,68204,13,1051,999,67,415,1,Female,Radio,Summer Sale,5540,415,1
36,55740,16,3983,3559,68,485,6,Female,TV,Spring Sale,2460,493,1
64,78622,15,8021,554,69,435,5,Male,TV,Winter Sale,6221,27,1
35,39111,12,7329,3246,70,215,8,Male,Radio,Spring Sale,1161,707,1
48,53116,3,218,3893,71,827,9,Female,TV,Summer Sale,7275,155,1
61,55396,11,641,4556,72,647,9,Male,Social Media,Winter Sale,4627,529,1
34,60014,16,8055,1970,73,264,5,Female,Social Media,Winter Sale,6245,318,0
52,69653,9,6920,3864,74,731,1,Female,Direct Mail,Summer Sale,3140,182,1
27,89404,19,5580,2578,75,632,2,Male,Social Media,Summer Sale,4427,225,1
65,70695,2,3930,1291,76,184,4,Female,TV,Winter Sale,9226,478,1
69,60463,19,8125,2460,77,433,3,Female,Radio,Summer Sale,1839,683,1
23,79373,11,1374,4373,78,662,2,Male,Email,Summer Sale,5991,642,0
46,62342,9,5168,2927,79,994,8,Male,Social Media,Summer Sale,4259,90,1
51,84440,11,479,4430,80,165,6,Male,TV,Spring Sale,2037,723,1
23,58652,13,8226,4758,81,699,1,Male,Radio,Winter Sale,8308,671,1
33,76509,3,6300,2849,82,197,7,Male,Social Media,Spring Sale,9893,713,1
55,92556,16,9924,1677,83,485,5,Female,Social Media,Summer Sale,1305,437,1
48,82115,3,7522,2088,84,190,9,Male,Direct Mail,Summer Sale,4853,518,1
36,99959,15,5566,4508,85,682,2,Male,Social Media,Summer Sale,7378,177,1
24,91767,18,2851,4065,86,597,6,Male,Radio,Fall Sale,9798,611,1
26,36645,18,1197,1684,87,581,5,Female,Direct Mail,Winter Sale,9294,655,1
35,59975,4,5807,2648,88,632,8,Male,Social Media,Fall Sale,8080,922,0
36,97507,17,6540,4235,89,706,5,Female,Radio,Summer Sale,2713,410,0
42,73427,8,4565,1244,90,279,2,Female,TV,Fall Sale,8341,389,1
26,45516,14,1187,1752,91,499,6,Female,Direct Mail,Summer Sale,6067,508,0
44,86594,2,8965,1656,92,705,4,Female,Social Media,Fall Sale,8143,419,1
37,95351,6,7878,1158,93,500,5,Male,Social Media,Winter Sale,3131,321,1
24,48640,12,8425,262,94,802,6,Male,Direct Mail,Fall Sale,2892,858,1
52,97301,7,6193,738,95,946,2,Male,Direct Mail,Spring Sale,9203,533,1
63,78100,18,2509,4955,96,527,4,Male,Social Media,Winter Sale,9495,343,0
69,74543,3,3424,1795,97,706,4,Female,Direct Mail,Spring Sale,3300,70,0
58,61793,10,2875,3456,98,662,1,Male,TV,Summer Sale,1345,608,1
29,71587,12,8448,4233,99,236,7,Male,Radio,Winter Sale,1217,670,1
65,59658,11,3521,4347,100,306,8,Female,Email,Winter Sale,3097,389,0
27,91894,10,692,4803,101,664,3,Male,Social Media,Spring Sale,6839,838,0
40,77556,4,1802,438,102,732,7,Male,Social Media,Summer Sale,8522,186,1
48,36699,8,4257,2142,103,215,4,Female,Social Media,Winter Sale,3642,119,0
68,37520,10,6857,2853,104,128,4,Male,Radio,Summer Sale,9422,475,0
43,37073,16,2328,277,105,469,7,Male,Direct Mail,Winter Sale,8002,42,0
24,31707,18,5574,4289,106,512,8,Male,TV,Spring Sale,2354,706,1
64,41896,3,5394,2099,107,167,3,Female,Radio,Spring Sale,7578,152,0
59,65559,10,4052,4086,108,271,9,Female,Social Media,Summer Sale,2375,873,0
24,66781,1,6561,697,109,475,3,Male,Radio,Summer Sale,2578,223,1
38,41934,6,9776,3239,110,844,3,Male,Direct Mail,Fall Sale,7333,377,1
21,42357,12,108,1536,111,111,6,Male,Direct Mail,Winter Sale,1066,432,0
33,34681,2,3760,3324,112,705,7,Male,Email,Fall Sale,1356,72,0
49,77916,12,9101,667,113,854,8,Male,TV,Winter Sale,3521,235,0
